,LINK_ID,Source,Target,ROAD_USE,LANES,ROAD_RANK,ROAD_TYPE,ROAD_NO,ROAD_NAME,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,REMARK,WORKSTATE,TMPID,IDCHECK,SOSFNODEID,SOSTNODEID,SOSBUILDID,ORDERID,USERID,STNL_REG,DEPT_CODE,b'ID\xbd\xc5\xb1\xd4\xba\xce\xbf\xa9',len
3808,1680031600,1680010100,1680009500,0,0,104,001,0,b'\xb0\xa1\xc0\xe7\xbf\xef\xb1\xe6',0,000,0,0,0,0,b'\xbc\xae\xb3\xb2\xc1\xa62\xb0\xed\xb0\xa1\xc2\xf7\xb5\xb5',5,,,OEXT1680010100,OEXT1680009500,OEXT1680031600,,icsi,168,00000,,0.00460004393597
3809,1680013500,1680001000,1680006000,0,0,104,000,0,b'\xb9\xe9\xb9\xfc\xb7\xce',0,000,0,0,0,0,,5,,,OEXT1680001000,OEXT1680006000,OEXT1680013500,,icsi,168,00000,,0.00118587614114
3810,1680013400,1680006000,1680001000,0,0,104,000,0,b'\xb9\xe9\xb9\xfc\xb7\xce',0,000,0,0,0,0,,5,,,OEXT1680006000,OEXT1680001000,OEXT1680013400,,icsi,168,00000,,0.00119109675151
3811,1680031900,1680009500,1680009600,0,0,104,000,0,b'\xb0\xa1\xc0\xe7\xbf\xef\xb1\xe6',0,000,0,0,0,0,,5,,,OEXT1680009500,OEXT1680009600,OEXT1680031900,,icsi,168,00000,,0.00166135484025
3812,1680031800,1680009600,1680009500,0,0,104,000,0,b'\xb0\xa1\xc0\xe7\xbf\xef\xb1\xe6',0,000,0,0,0,0,,5,,,OEXT1680009600,OEXT1680009500,OEXT1680031800,,icsi,168,00000,,0.00164804303263
3813,1680031300,1680009400,1680009500,0,0,104,000,0,b'\xb0\xa1\xc0\xe7\xbf\xef\xb1\xe6',0,000,0,0,0,0,,5,,,OEXT1680009400,OEXT1680009500,OEXT1680031300,,icsi,168,00000,,0.000470147563546
3814,1680033700,1680010200,1680010000,0,0,104,000,0,b'\xb0\xa1\xc1\xa4\xb7\xce',0,000,0,0,0,0,,5,,,OEXT1680010200,OEXT1680010000,OEXT1680033700,,icsi,168,00000,,0.00161036312777
3815,1680033600,1680010000,1680010200,0,0,104,000,0,b'\xb0\xa1\xc1\xa4\xb7\xce',0,000,0,0,0,0,,5,,,OEXT1680010000,OEXT1680010200,OEXT1680033600,,icsi,168,00000,,0.00161077090044
3816,1680015100,1680001600,1680010200,0,0,104,000,0,b'\xbc\xae\xb3\xb2\xc0\xfc\xc8\xad\xb1\xb9\xb1\xe6',0,000,0,0,0,0,,5,,,OEXT1680001600,OEXT1680010200,OEXT1680015100,,icsi,168,00000,,0.00365818337861
3817,1680015000,1680010200,1680001600,0,0,104,000,0,b'\xbc\xae\xb3\xb2\xc0\xfc\xc8\xad\xb1\xb9\xb1\xe6',0,000,0,0,0,0,,5,,,OEXT1680010200,OEXT1680001600,OEXT1680015000,,icsi,168,00000,,0.00366503391098
3818,1680027800,1680009200,1680007900,0,0,104,000,0,b'\xb0\xa1\xc1\xa4\xb7\xce',0,000,0,0,0,0,,5,,,OEXT1680009200,OEXT1680007900,OEXT1680027800,,icsi,168,00000,,0.00500400642224
3819,1680027900,1680007900,1680009200,0,0,104,000,0,b'\xb0\xa1\xc1\xa4\xb7\xce',0,000,0,0,0,0,,5,,,OEXT1680007900,OEXT1680009200,OEXT1680027900,,icsi,168,00000,,0.00500407141876
3820,1680027300,1680008000,1680007600,0,0,104,000,0,b'\xbf\xf8\xc0\xfb\xbb\xea\xb1\xe6',0,000,0,0,0,0,,5,,,OEXT1680008000,OEXT1680007600,OEXT1680027300,,icsi,168,00000,,0.00118249524789
3821,1680027200,1680007600,1680008000,0,0,104,000,0,b'\xbf\xf8\xc0\xfb\xbb\xea\xb1\xe6',0,000,0,0,0,0,,5,,,OEXT1680007600,OEXT1680008000,OEXT1680027200,,icsi,168,00000,,0.00122181194268
3822,1680023500,1680006500,1680006400,0,0,104,000,0,b'\xbf\xf8\xc0\xfb\xbb\xea\xb1\xe6',0,000,0,0,0,0,,5,,,OEXT1680006500,OEXT1680006400,OEXT1680023500,,icsi,168,00000,,0.000771530070005
3823,1680023400,1680006400,1680006500,0,0,104,000,0,b'\xbf\xf8\xc0\xfb\xbb\xea\xb1\xe6',0,000,0,0,0,0,,5,,,OEXT1680006400,OEXT1680006500,OEXT1680023400,,icsi,168,00000,,0.000772849404783
