,MEGA_NM,MEGA_CD,CTY_NM,CTY_CD,HOUS,POP,POP_10,POP_20,POP_30,POP_40,POP_50,POP_60_O,longitude,latitude
192238,울산광역시,31,북구,31200,120.0,395.77,152.1,27.43,62.16,102.91,21.98,29.19,129.34182468969948,35.65318323020038
192239,울산광역시,31,북구,31200,114.0,392.95,70.02,83.51,45.37,90.7,75.71,27.64,129.38196634644441,35.54726517033931
192240,울산광역시,31,북구,31200,288.0,871.67,346.84,83.48,302.4,109.48,12.05,17.42,129.3271560737241,35.63441686026656
193727,울산광역시,31,남구,31140,1.37,5.2,0.41,0.45,0.42,0.76,1.16,2.0,129.32598109028805,35.49651476263599
193728,울산광역시,31,북구,31200,2.57,5.34,0.89,0.8,0.58,1.23,1.05,0.79,129.35226784898595,35.55210966204764
193729,울산광역시,31,북구,31200,2.08,5.35,1.15,0.57,0.56,1.26,0.97,0.84,129.367909976952,35.62855157539266
193730,울산광역시,31,울주군,31710,1.49,3.93,0.34,0.4,0.09,0.72,0.75,1.63,129.11559698867475,35.586989037621215
193731,울산광역시,31,울주군,31710,1.53,3.96,0.54,0.36,0.33,0.51,0.59,1.63,129.13376115017957,35.62287594176868
193732,울산광역시,31,울주군,31710,1.61,4.68,0.83,0.67,0.18,0.85,1.22,0.93,129.3374713260214,35.391822764041336
193733,울산광역시,31,울주군,31710,1.65,4.5,0.87,0.59,0.48,0.76,0.7,1.1,129.21415175846803,35.4634403806215
196641,울산광역시,31,울주군,31710,49.04,113.17,26.99,15.52,19.83,22.04,16.19,12.6,129.31164105223885,35.42816380055698
196642,울산광역시,31,울주군,31710,4.5,12.51,3.06,1.5,2.04,2.31,1.62,1.98,129.29916575074765,35.405763232931996
196644,울산광역시,31,울주군,31710,1.56,4.24,0.63,0.59,0.39,0.62,0.87,1.14,129.27006738775555,35.58545643168151
196645,울산광역시,31,울주군,31710,3.3,8.88,0.98,1.02,0.9,1.32,1.88,2.78,129.273057756733,35.42587340995824
196647,울산광역시,31,울주군,31710,3.0,8.18,0.99,0.97,0.77,1.32,1.83,2.3,129.0693979187074,35.59822609389083
196651,울산광역시,31,울주군,31710,1.88,5.34,1.28,0.59,0.62,0.9,0.99,0.96,129.09596530659144,35.52316795128452
196653,울산광역시,31,울주군,31710,1.5,4.16,1.38,0.22,0.95,0.81,0.54,0.26,129.26702876302994,35.39258388637898
196658,울산광역시,31,울주군,31710,1.5,4.24,0.65,0.37,0.43,0.68,0.94,1.17,129.09316043211157,35.56015228305148
196659,울산광역시,31,울주군,31710,1.5,4.09,0.85,0.34,0.44,0.72,0.74,1.0,129.07366736349584,35.58737087977951
196664,울산광역시,31,울주군,31710,1.53,4.09,0.42,0.42,0.3,0.64,0.83,1.48,129.24226733602578,35.428899162541484
196667,울산광역시,31,울주군,31710,1.52,4.23,0.41,0.34,0.5,0.7,1.05,1.23,129.2839998101965,35.62857588855001
196668,울산광역시,31,울주군,31710,12.01,30.44,6.05,1.54,3.3,5.89,5.79,7.87,129.09012070202303,35.661139452108245
196669,울산광역시,31,울주군,31710,3.12,8.64,0.38,1.52,2.3,1.82,1.32,1.3,129.1710821941955,35.608095364254744
196672,울산광역시,31,울주군,31710,3.0,8.24,1.4,1.06,0.58,1.58,1.52,2.1,129.08596364814585,35.5989789724267
196673,울산광역시,31,울주군,31710,81.3,162.93,40.11,20.12,36.28,27.32,19.8,19.3,129.308293770378,35.42549591506674
196675,울산광역시,31,울주군,31710,1.52,3.89,0.26,0.0,0.16,0.32,0.98,2.17,129.1160508563596,35.69876060135133
196676,울산광역시,31,울주군,31710,19.5,53.56,11.44,10.01,12.48,10.14,5.72,3.77,129.30957038341657,35.43629916494352
196677,울산광역시,31,울주군,31710,3.01,5.36,1.07,0.28,0.6,1.03,0.99,1.39,129.06306341656884,35.61991655649542
196678,울산광역시,31,울주군,31710,1.5,4.0,0.39,0.71,0.46,0.54,0.78,1.12,129.05754404881336,35.61996526619445
196679,울산광역시,31,울주군,31710,34.36,93.33,20.2,17.0,21.42,17.64,10.26,6.81,129.30846912144358,35.43631113201472
196683,울산광역시,31,울주군,31710,1.52,3.89,0.26,0.0,0.16,0.32,0.98,2.17,129.1083287810688,35.69973355323084
196685,울산광역시,31,울주군,31710,3.01,5.36,1.07,0.28,0.6,1.03,0.99,1.39,129.09124972592565,35.66293203293775
196686,울산광역시,31,울주군,31710,15.2,43.4,1.3,3.4,2.3,9.5,13.0,13.9,129.17861934679044,35.67021909612621
196687,울산광역시,31,울주군,31710,1.52,4.34,0.13,0.34,0.23,0.95,1.3,1.39,129.17751482595733,35.67022993013619
196688,울산광역시,31,울주군,31710,30.0,84.84,24.48,7.38,15.83,19.54,9.44,8.17,129.11861814492931,35.5662281442447
