,MEGA_NM,MEGA_CD,CTY_NM,CTY_CD,POP,POP_10,POP_20,POP_30,POP_40,POP_50,POP_60,POP_70,POP_80_O,latitude,longitude
396837,울산광역시,31,울주군,31710,9.4418,0.0,1.58163,3.21116,2.97152,1.29408,0.38341,0.0,0.0,35.41167494675551,129.33559779166492
396852,울산광역시,31,북구,31200,100.49101,0.0,27.71273,33.41067,30.9502,7.64042,0.77699,0.0,0.0,35.64213252642706,129.36262060077672
396926,울산광역시,31,울주군,31710,12.01624,0.0,3.00406,0.75102,5.25712,3.00404,0.0,0.0,0.0,35.55362002332954,129.1173394075028
396929,울산광역시,31,남구,31140,0.47422,0.0,0.0,0.0,0.47422,0.0,0.0,0.0,0.0,35.50486952964684,129.3845451539748
396953,울산광역시,31,남구,31140,59.60253,0.0,10.00664,23.94891,17.88148,7.32821,0.32796,0.10933,0.0,35.52893541207487,129.3287209578024
397019,울산광역시,31,중구,31110,94.21672,0.0,19.38145,31.31205,32.37632,7.17008,3.97682,0.0,0.0,35.57922088565573,129.34610405014902
397048,울산광역시,31,남구,31140,22.18472,0.0,4.3403,12.29824,2.17015,3.37603,0.0,0.0,0.0,35.537923489121354,129.33107520035185
397057,울산광역시,31,남구,31140,4.59788,0.00017,1.21086,1.30365,1.43576,0.59118,0.05172,0.00454,0.0,35.471824950867415,129.35753081182742
397071,울산광역시,31,울주군,31710,29.57738,0.0,4.60944,6.91416,8.06659,8.83483,1.15236,0.0,0.0,35.5272412928569,129.23386057411028
397100,울산광역시,31,동구,31170,216.62527,0.0,35.65479,89.886,62.32096,26.06694,2.39696,0.29962,0.0,35.50828313088432,129.40114027687133
397136,울산광역시,31,남구,31140,7.7928,0.00043,1.24208,2.56088,2.55916,0.65306,0.76623,0.01096,0.0,35.46465220084552,129.354104487637
397139,울산광역시,31,울주군,31710,3.58279,0.0,0.85606,0.9829,1.07802,0.5707,0.09511,0.0,0.0,35.44289779591036,129.19511589019004
397160,울산광역시,31,남구,31140,10.69611,0.0056,1.62938,3.34081,3.07981,2.27697,0.33557,0.02797,0.0,35.51136719395442,129.3681198822082
397302,울산광역시,31,남구,31140,213.06,3.07153,58.16449,96.5721,33.05588,22.04569,0.15031,0.0,0.0,35.533526626832796,129.32107736120602
397380,울산광역시,31,동구,31170,43.85576,0.0,9.47878,18.86795,12.22294,3.05994,0.22615,0.0,0.0,35.513340320149844,129.43099561874985
397405,울산광역시,31,북구,31200,2.49841,0.0,0.12492,0.87444,0.99937,0.37476,0.12492,0.0,0.0,35.62504687230186,129.3590178817039
397426,울산광역시,31,남구,31140,1.27616,0.00011,0.15624,0.41584,0.49878,0.16985,0.03249,0.00285,0.0,35.502454723073136,129.35914956898395
397442,울산광역시,31,남구,31140,2.73458,0.00023,0.33479,0.89107,1.06881,0.36397,0.0696,0.00611,0.0,35.49806010017307,129.349154737386
397541,울산광역시,31,울주군,31710,1.93467,0.0,0.0,0.0,0.0,1.93467,0.0,0.0,0.0,35.42250227083684,129.33467563999807
397624,울산광역시,31,북구,31200,103.5056,0.0,28.54409,34.41295,31.87864,7.86962,0.8003,0.0,0.0,35.64755233896391,129.3616084983471
397696,울산광역시,31,남구,31140,10.9943,0.0,0.0,0.0,0.0,10.9943,0.0,0.0,0.0,35.524343728352754,129.33636367600255
397766,울산광역시,31,울주군,31710,0.74124,0.12354,0.0,0.37062,0.24708,0.0,0.0,0.0,0.0,35.54709344194486,129.1404114955748
397791,울산광역시,31,울주군,31710,1.65667,0.0,0.0,0.0,1.65667,0.0,0.0,0.0,0.0,35.532828148083965,129.12366706584794
397794,울산광역시,31,북구,31200,2.87568,0.0,0.0,0.0,2.87568,0.0,0.0,0.0,0.0,35.619701808851914,129.35340743458636
397971,울산광역시,31,동구,31170,18.1812,0.0,0.0,18.1812,0.0,0.0,0.0,0.0,0.0,35.51872134082491,129.43329645513217
397993,울산광역시,31,남구,31140,9.50697,0.00082,1.16396,3.09786,3.71581,1.26531,0.24195,0.02126,0.0,35.47914630202182,129.34773586790806
397994,울산광역시,31,북구,31200,4.6657,0.0,0.26744,0.20058,4.06396,0.06686,0.06686,0.0,0.0,35.58707035608713,129.36940946586407
398077,울산광역시,31,울주군,31710,3.19368,0.0,0.0,0.0,3.19368,0.0,0.0,0.0,0.0,35.57824865625685,129.0856829677019
398092,울산광역시,31,북구,31200,4.79294,0.0,0.1055,0.73847,3.52698,0.31649,0.1055,0.0,0.0,35.627775475544034,129.35685602321604
398143,울산광역시,31,남구,31140,111.20221,0.0,29.41163,44.8718,23.61702,12.53732,0.70074,0.0637,0.0,35.53515864541305,129.33654343433238
398153,울산광역시,31,남구,31140,1.09772,9e-05,0.1344,0.3577,0.42905,0.1461,0.02793,0.00245,0.0,35.486479129194194,129.3368372093744
398199,울산광역시,31,남구,31140,27.25386,0.00499,5.06515,10.34799,7.86545,3.3295,0.61809,0.02122,0.00147,35.52364914691017,129.31760714387286
398216,울산광역시,31,울주군,31710,1.44527,0.0,0.3299,0.40845,0.48698,0.18852,0.03142,0.0,0.0,35.68146003613499,129.22629285015807
398283,울산광역시,31,남구,31140,0.38787,3e-05,0.04749,0.12639,0.15161,0.05162,0.00987,0.00086,0.0,35.472874518639024,129.34432510844013
398304,울산광역시,31,동구,31170,31.90709,0.0,2.55257,5.95599,18.71881,2.97801,1.70171,0.0,0.0,35.50253889059141,129.42970123245718
398315,울산광역시,31,중구,31110,34.79143,0.0,4.05671,15.58183,10.07941,4.38448,0.689,0.0,0.0,35.557665122430855,129.3391240519702
398318,울산광역시,31,울주군,31710,17.3739,0.0,0.0,8.68695,8.68695,0.0,0.0,0.0,0.0,35.63013828933824,129.12834328746445
398325,울산광역시,31,남구,31140,4.00652,0.0,0.0,0.0,0.0,4.00652,0.0,0.0,0.0,35.52620730726242,129.33088124158257
398368,울산광역시,31,북구,31200,2.12545,0.0,2.12545,0.0,0.0,0.0,0.0,0.0,0.0,35.663648519431355,129.37292799973673
